Ticker;Nome;Setor ICB
ELEK4 BZ Equity;ELEKEIROZ SA-PRF;Chemicals
IDNT3 BZ Equity;IDEIASNET SA;Financial Services
BBVJ11 BZ Equity;BB VOTORANTIM JHSF CID JARD;Equity Investment Instruments
CTNM4 BZ Equity;CIA TECIDOS NORTE DE MINA-PR;Personal Goods
CXRI11 BZ Equity;FII CAIXA RIO BRAVO;Nonequity Investment Instruments
CXCE11B BZ Equity;FI IMOBILIARIO CAIXA CEDAE;Real Estate Investment Trusts
CEOC11B BZ Equity;FII CEO CCP;#N/A N/A
CTXT11 BZ Equity;FII CENTRO TEXTIL INTL;Nonequity Investment Instruments
THRA11B BZ Equity;FND INVST IMOB BM CYR TH COR;#N/A N/A
RBRD11 BZ Equity;RB CAPITAL RENDA II FUNDO;Real Estate Investment Trusts
FLMA11 BZ Equity;FDO S F LIMA;Real Estate Investment Trusts
BTTL4 BZ Equity;BATTISTELLA ADM PART SA-PREF;General Industrials
VLOL11 BZ Equity;FII VILA OLIMPIA CORPORATE;Nonequity Investment Instruments
FRIO3 BZ Equity;METALFRIO SOLUTIONS SA;Household Goods & Home Construction
TRPN3 BZ Equity;TARPON INVESTIMENTOS SA;Financial Services
LFFE4 BZ Equity;LA FONTE TELECOM SA-PREF;Real Estate Investment & Services
SLED4 BZ Equity;SARAIVA SA LIVREIROS-PREF;Media
SGAS4 BZ Equity;WLM INDUSTRIA E COMERCIO SA;Financial Services
BRIN3 BZ Equity;BR INSURANCE CORRETORA DE SE;Nonlife Insurance
FEXC11 BZ Equity;FII BTG PACTUAL FUNDO DE CRI;Real Estate Investment Trusts
FAED11 BZ Equity;FI IMOB ANHANGUERA EDUCACION;Real Estate Investment Trusts
SPXI11 BZ Equity;IT NOW S&P500 TRN FI;Nonequity Investment Instruments
OGSA3 BZ Equity;OGX PETROLEO E GAS SA;Oil & Gas Producers
BMKS3 BZ Equity;BICICLETAS MONARK SA;Leisure Goods
UCAS3 BZ Equity;UNICASA INDUSTRIA DE MOVEIS;Household Goods & Home Construction
SPTW11 BZ Equity;SP DOWNTOWN FII;#N/A N/A
SDIL11 BZ Equity;SDI LOGISTICA RIO FII;#N/A N/A
RSID3 BZ Equity;ROSSI RESIDENCIAL SA;Household Goods & Home Construction
FJTA4 BZ Equity;FORJAS TAURUS SA-PREF;Aerospace & Defense
MTSA4 BZ Equity;METISA METALURGICA TIMB-PREF;Industrial Metals & Mining
RNDP11 BZ Equity;BB RENDA DE PAPEIS IMOB FII;#N/A N/A
PLRI11 BZ Equity;POLO FII I;#N/A N/A
TKNO4 BZ Equity;TEKNO SA INDUSTRIA E COMERCI;Construction & Materials
HGCR11 BZ Equity;CSHG RECEBIVEIS IMOBILIARIOS;Equity Investment Instruments
PORD11 BZ Equity;FII POLO CRI;#N/A N/A
GRLV11 BZ Equity;FII CSHG GR LOUVEIRA;#N/A N/A
AEFI11 BZ Equity;AESAPAR FDI IMOBILIARIO;#N/A N/A
TRXL11 BZ Equity;FUNDO TRX REALTY LOGISTICA I;Equity Investment Instruments
BCRI11 BZ Equity;BANESTES RECEBIVEIS FII;#N/A N/A
PDGR3 BZ Equity;PDG REALTY SA;Real Estate Investment & Services
MAXR11 BZ Equity;FII MAX RETAIL;Real Estate Investment Trusts
MBRF11 BZ Equity;MERCANTIL DO BRASIL FII;Real Estate Investment Trusts
CBOP11 BZ Equity;CASTELLO BRANCO OF PARK FII;#N/A N/A
OGXP3 BZ Equity;OLEO E GAS PARTICIPACOES SA;Oil & Gas Producers
ONEF11 BZ Equity;FII THE ONE;#N/A N/A
PRSV11 BZ Equity;FI IMOB PRESIDENTE VARGAS;Real Estate Investment Trusts
AFLU3 BZ Equity;AFLUENTE GERACAO DE ENERGIA;Electricity
MERC4 BZ Equity;MERCANTIL BRASIL FINANC-PREF;Financial Services
CTSA4 BZ Equity;CIA TECIDOS SANTANENSE-PREF;Personal Goods
BMLC11B BZ Equity;BM BRASCAN LAJES CORP FII;#N/A N/A
RBBV11 BZ Equity;FII JHSF FBV;Real Estate Investment & Services
HTMX11 BZ Equity;FI IMOBILIARIO HOTEL MAXINVE;Equity Investment Instruments
LOGN3 BZ Equity;LOG-IN LOGISTICA INTERMODAL;Industrial Transportation
GPCP3 BZ Equity;GPC PARTICIPACOES SA;Financial Services
SMAL11 BZ Equity;ISHARES BM&FBOVESPA SM CAP;Nonequity Investment Instruments
BNFS11 BZ Equity;BANRISUL NOVAS FRONTEIRAS FI;#N/A N/A
HBTS5 BZ Equity;CIA HABITASUL DE PARTI-PRF A;Financial Services
ATOM3 BZ Equity;ATOM PARTICIPACOES SA;Mobile Telecommunications
WPLZ11B BZ Equity;FI IMOB SHOPPING WEST PLAZA;Real Estate Investment Trusts
BALM4 BZ Equity;BAUMER SA-PREF;Health Care Equipment & Services
ECPR4 BZ Equity;EMP NACL COM REDITO E PAR-PF;Personal Goods
ECOO11 BZ Equity;ISHARES CARBONO EFICIENTE;#N/A N/A
DOMC11 BZ Equity;FII DOMO;Nonequity Investment Instruments
